"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2015,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2016,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2015,1,"FÍSICA - LICENCIATURA","MUDANCA DE CURSO"
2014,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2015,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2016,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2016,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2015,1,"ESTATÍSTICA","SELEÇÃO SISU"
2015,2,"ESTATÍSTICA","SELEÇÃO SISU"
2014,1,"ESTATÍSTICA","SELEÇÃO SISU"
2015,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2017,2,"ESTATÍSTICA","SELEÇÃO SISU"
2015,1,"ESTATÍSTICA","SELEÇÃO SISU"
2017,1,"ESTATÍSTICA","SELEÇÃO SISU"
2014,2,"CIÊNCIAS AMBIENTAIS","SELEÇÃO SISU"
2016,1,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2015,1,"LETRAS - ESPANHOL","MUDANCA DE CURSO"
2015,1,"LETRAS - ESPANHOL","MUDANCA DE CURSO"
2014,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,2,"ODONTOLOGIA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2014,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2018,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2018,2,"ENGENHARIA ELÉTRICA","TRANSF REGULAR"
2019,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","SELEÇÃO SISU"
2015,2,"ODONTOLOGIA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","SELEÇÃO SISU"
2014,1,"ODONTOLOGIA","SELEÇÃO SISU"
2014,1,"ODONTOLOGIA","SELEÇÃO SISU"
2015,1,"SISTEMAS DE INFORMAÇÃO","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2016,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2018,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2016,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2016,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2015,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2015,2,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2014,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2018,2,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2014,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2018,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2016,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2014,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2017,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2014,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2017,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2014,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2017,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2015,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2019,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"ENGENHARIA ELÉTRICA","MUDANCA DE CURSO"
2016,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,2,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2018,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2016,1,"ENGENHARIA CIVIL","TRANSF REGULAR"
2019,2,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2015,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2016,2,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2017,1,"ENGENHARIA CIVIL","VESTIBULAR"
2016,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2015,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2019,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2015,2,"ARQUITETURA E URBANISMO","SELEÇÃO SISU"
2014,1,"ARQUITETURA E URBANISMO","SELEÇÃO SISU"
2015,2,"ARQUITETURA E URBANISMO","SELEÇÃO SISU"
2015,2,"MEDICINA","SELEÇÃO SISU"
2015,1,"CIÊNCIAS ECONÔMICAS (DIURNO)","SELEÇÃO SISU"
2014,1,"ODONTOLOGIA","SELEÇÃO SISU"
2019,2,"ODONTOLOGIA","SELEÇÃO SISU"
2014,1,"ODONTOLOGIA","SELEÇÃO SISU"
2014,1,"ODONTOLOGIA","SELEÇÃO SISU"
2015,1,"ODONTOLOGIA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","MUDANCA DE CURSO"
2014,1,"SISTEMAS DE INFORMAÇÃO","SELEÇÃO SISU"
2016,2,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,2,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2016,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2016,1,"CIÊNCIAS ECONÔMICAS (DIURNO)","SELEÇÃO SISU"
2015,1,"ESTATÍSTICA","SELEÇÃO SISU"
2017,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2016,2,"ESTATÍSTICA","SELEÇÃO SISU"
2016,1,"ESTATÍSTICA","SELEÇÃO SISU"
2015,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2015,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2016,1,"ESTATÍSTICA","SELEÇÃO SISU"
2015,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2017,2,"ESTATÍSTICA","SELEÇÃO SISU"
2017,1,"ESTATÍSTICA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2017,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2016,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2018,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,2,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2014,2,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2016,1,"CIÊNCIAS BIOLÓGICAS","MUDANCA DE CURSO"
2014,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2014,1,"ZOOTECNIA","SELEÇÃO SISU"
2014,1,"ZOOTECNIA","SELEÇÃO SISU"
2014,2,"ZOOTECNIA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,2,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,2,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,2,"ENGENHARIA DE ALIMENTOS","MUDANCA DE CURSO"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2017,1,"ENGENHARIA DE ALIMENTOS","VESTIBULAR"
2015,1,"ENGENHARIA DE ALIMENTOS","MUDANCA DE CURSO"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2017,1,"ENGENHARIA DE ALIMENTOS","TRANSF REGULAR"
2017,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2016,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2015,2,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2018,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2015,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2015,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2014,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2016,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2018,1,"ENGENHARIA DE PESCA","MUDANCA DE CURSO"
2014,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2016,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2016,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2018,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2017,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2015,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2016,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2018,1,"ENGENHARIA DE PESCA","TRANSF REGULAR"
2015,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2014,2,"PEDAGOGIA (NOTURNO)","MUDANCA DE CURSO"
2014,1,"HISTÓRIA","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2017,1,"SISTEMAS DE INFORMAÇÃO","SELEÇÃO SISU"
2016,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,1,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,2,"PEDAGOGIA (NOTURNO)","SELEÇÃO SISU"
2015,2,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2014,2,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2014,2,"HISTÓRIA","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2016,2,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2015,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","MUDANCA DE CURSO"
2014,1,"SISTEMAS DE INFORMAÇÃO","SELEÇÃO SISU"
2014,2,"HISTÓRIA","SELEÇÃO SISU"
2016,2,"HISTÓRIA","SELEÇÃO SISU"
2016,2,"HISTÓRIA","SELEÇÃO SISU"
2014,2,"HISTÓRIA","MUDANCA DE CURSO"
2016,1,"HISTÓRIA","SELEÇÃO SISU"
2017,1,"HISTÓRIA","SELEÇÃO SISU"
2018,1,"HISTÓRIA","SELEÇÃO SISU"
2017,2,"HISTÓRIA","SELEÇÃO SISU"
2014,2,"HISTÓRIA","SELEÇÃO SISU"
2014,1,"HISTÓRIA","SELEÇÃO SISU"
2017,1,"LETRAS","VESTIBULAR"
2017,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"LETRAS","SELEÇÃO SISU"
2018,1,"LETRAS","SELEÇÃO SISU"
2019,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"LETRAS","MUDANCA DE CURSO"
2014,2,"LETRAS","SELEÇÃO SISU"
2015,1,"LETRAS","SELEÇÃO SISU"
2016,1,"LETRAS","SELEÇÃO SISU"
2018,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"LETRAS","MUDANCA DE CURSO"
2016,1,"LETRAS","SELEÇÃO SISU"
2019,1,"LETRAS","ADMISSAO DE GRADUADO"
2017,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,2,"LETRAS","SELEÇÃO SISU"
2014,1,"LETRAS","SELEÇÃO SISU"
2016,1,"LETRAS","SELEÇÃO SISU"
2015,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2014,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2016,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2014,2,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2014,2,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2015,1,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2014,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,1,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,2,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2014,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,2,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2014,1,"PEDAGOGIA (NOTURNO)","SELEÇÃO SISU"
2015,2,"AGRONOMIA","SELEÇÃO SISU"
2015,1,"AGRONOMIA","SELEÇÃO SISU"
2015,2,"AGRONOMIA","MUDANCA DE CURSO"
2014,1,"AGRONOMIA","SELEÇÃO SISU"
2016,1,"AGRONOMIA","SELEÇÃO SISU"
2014,1,"AGRONOMIA","SELEÇÃO SISU"
2016,1,"AGRONOMIA","SELEÇÃO SISU"
2014,1,"AGRONOMIA","SELEÇÃO SISU"
2014,1,"AGRONOMIA","SELEÇÃO SISU"
2015,1,"AGRONOMIA","MUDANCA DE CURSO"
2017,2,"AGRONOMIA","SELEÇÃO SISU"
2017,1,"REDES DE COMPUTADORES","VESTIBULAR"
2015,1,"REDES DE COMPUTADORES","SELEÇÃO SISU"
2015,1,"AGRONOMIA","MUDANCA DE CURSO"
2017,1,"AGRONOMIA","SELEÇÃO SISU"
2014,1,"AGRONOMIA","SELEÇÃO SISU"
2015,1,"AGRONOMIA","SELEÇÃO SISU"
2015,1,"AGRONOMIA","MUDANCA DE CURSO"
2015,1,"REDES DE COMPUTADORES","SELEÇÃO SISU"
2014,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2014,2,"AGRONOMIA","MUDANCA DE CURSO"
2016,1,"FÍSICA - BACHARELADO","MUDANCA DE CURSO"
2016,1,"FÍSICA - BACHARELADO","MUDANCA DE CURSO"
2018,1,"FILOSOFIA","SELEÇÃO SISU"
2014,1,"REDES DE COMPUTADORES","SELEÇÃO SISU"
2017,1,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2015,1,"PEDAGOGIA (NOTURNO)","SELEÇÃO SISU"
2015,2,"FILOSOFIA","PROCESSO SELETIVO ENEM"
2017,2,"FILOSOFIA","SELEÇÃO SISU"
2015,2,"FILOSOFIA","SELEÇÃO SISU"
2015,2,"FILOSOFIA","SELEÇÃO SISU"
2018,1,"FILOSOFIA","SELEÇÃO SISU"
2018,1,"FILOSOFIA","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"MÚSICA","MUDANCA DE CURSO"
2019,1,"MÚSICA","SELEÇÃO SISU"
2013,2,"MÚSICA","SELEÇÃO SISU"
2015,1,"MÚSICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"PEDAGOGIA (NOTURNO)","SELEÇÃO SISU"
2015,1,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2015,1,"DANÇA - BACHARELADO","MUDANCA DE CURSO"
2015,2,"MÚSICA","SELEÇÃO SISU"
2015,1,"MÚSICA","MUDANCA DE CURSO"
2019,1,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2016,1,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","MUDANCA DE CURSO"
2016,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","SELEÇÃO SISU"
2019,1,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2019,1,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"FÍSICA - BACHARELADO","SELEÇÃO SISU"
2017,1,"FÍSICA - LICENCIATURA","ADMISSAO DE GRADUADO"
2014,1,"FÍSICA - LICENCIATURA","MUDANCA DE CURSO"
2017,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2019,2,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2014,2,"ENFERMAGEM","MUDANCA DE CURSO"
2018,1,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2018,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2017,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2016,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2016,1,"MATEMÁTICA INDUSTRIAL","SELEÇÃO SISU"
2014,1,"MATEMÁTICA INDUSTRIAL","SELEÇÃO SISU"
2017,1,"EDUCACAO FÍSICA - BACHARELADO (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2016,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"COMPUTAÇÃO","VESTIBULAR"
2019,1,"MATEMÁTICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2018,1,"MÚSICA-LICENCIATURA","SELEÇÃO SISU"
2016,1,"FINANÇAS","SELEÇÃO SISU"
2016,2,"CIÊNCIAS SOCIAIS (NOTURNO)","MUDANCA DE CURSO"
2013,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2014,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","SELEÇÃO SISU"
2014,1,"CIÊNCIAS BIOLÓGICAS","CONV PEC-G/MUD CURSO"
2015,1,"PSICOLOGIA/CCGPSIC - SOBRAL","MUDANCA DE CURSO"
2017,1,"QUÍMICA - BACHARELADO","VESTIBULAR"
2015,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2016,1,"CIÊNCIAS CONTÁBEIS (NOTURNO)","SELEÇÃO SISU"
2016,1,"QUÍMICA - LICENCIATURA","MUDANCA DE CURSO"
2019,1,"EDUCAÇÃO FÍSICA - BACHARELADO (VESPERTINO-NOTURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2019,1,"EDUCAÇÃO FÍSICA - BACHARELADO (VESPERTINO-NOTURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"EDUCAÇÃO FÍSICA - BACHARELADO (VESPERTINO-NOTURNO)","MUDANCA DE CURSO"
2016,2,"EDUCAÇÃO FÍSICA - BACHARELADO (VESPERTINO-NOTURNO)","SELEÇÃO SISU"
2014,1,"QUÍMICA - LICENCIATURA","MUDANCA DE CURSO"
2016,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2017,1,"QUÍMICA - LICENCIATURA","VESTIBULAR"
2014,1,"QUÍMICA - LICENCIATURA","MUDANCA DE CURSO"
2017,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2014,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","MUDANCA DE CURSO"
2015,1,"ENGENHARIA DE COMPUTAÇÃO","MUDANCA DE CURSO"
2014,1,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2016,1,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2015,2,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2014,1,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2014,2,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2015,1,"FILOSOFIA","SELEÇÃO SISU"
2014,2,"FILOSOFIA","MUDANCA DE CURSO"
2018,1,"FILOSOFIA","SELEÇÃO SISU"
2017,1,"FILOSOFIA","NOVA MODALIDADE/HABILITAÇÃO"
2014,1,"FILOSOFIA","SELEÇÃO SISU"
2015,1,"FILOSOFIA","SELEÇÃO SISU"
2019,1,"FILOSOFIA","SELEÇÃO SISU"
2015,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2016,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2015,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2016,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2017,1,"QUÍMICA - LICENCIATURA","VESTIBULAR"
2017,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2014,1,"FILOSOFIA","SELEÇÃO SISU"
2014,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2017,2,"QUÍMICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2017,2,"QUÍMICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2017,2,"QUÍMICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"QUÍMICA - LICENCIATURA","MUDANCA DE CURSO"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2017,2,"COMPUTAÇÃO","SELEÇÃO SISU"
2017,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2014,1,"COMPUTAÇÃO","MUDANCA DE CURSO"
2014,2,"COMPUTAÇÃO","SELEÇÃO SISU"
2016,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2014,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2018,2,"COMPUTAÇÃO","SELEÇÃO SISU"
2014,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2016,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2014,2,"COMPUTAÇÃO","SELEÇÃO SISU"
2015,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2016,1,"COMPUTAÇÃO","SELEÇÃO SISU"
2014,1,"DIREITO (NOTURNO)","SELEÇÃO SISU"
2016,2,"DIREITO (NOTURNO)","SELEÇÃO SISU"
2018,1,"DIREITO (NOTURNO)","SELEÇÃO SISU"
2017,1,"DIREITO (NOTURNO)","VESTIBULAR"
2015,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2014,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2018,1,"QUÍMICA - LICENCIATURA","TRANSF REGULAR"
2016,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2017,1,"QUÍMICA - LICENCIATURA","TRANSF REGULAR"
2018,1,"QUÍMICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2016,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2019,1,"QUÍMICA - BACHARELADO","NOVA MODALIDADE/HABILITAÇÃO"
2014,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2016,1,"QUÍMICA - BACHARELADO","MUDANCA DE CURSO"
2017,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2015,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2015,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2016,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2015,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2015,1,"QUÍMICA - BACHARELADO","MUDANCA DE CURSO"
2015,2,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2015,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2017,1,"QUÍMICA - BACHARELADO","MUDANÇA DE MATRIZ/HABILITAÇÃO"
2018,1,"QUÍMICA - BACHARELADO","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"QUÍMICA - BACHARELADO","MUDANÇA DE MATRIZ/HABILITAÇÃO"
2017,1,"QUÍMICA - BACHARELADO","MUDANCA DE CURSO"
2016,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2016,2,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2013,2,"CIÊNCIAS ATUARIAIS","SELEÇÃO SISU"
2019,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2015,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2014,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2014,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2016,2,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2014,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2016,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2015,1,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2014,2,"ADMINISTRAÇÃO (NOTURNO)","MUDANCA DE CURSO"
2015,1,"SECRETARIADO EXECUTIVO","SELEÇÃO SISU"
2015,2,"SECRETARIADO EXECUTIVO","MUDANCA DE CURSO"
2014,2,"SECRETARIADO EXECUTIVO","MUDANCA DE CURSO"
